iso3,pais,pbi
USA,United States,76329.58227
DNK,Denmark,67790.05399
CAN,Canada,54917.66252
GBR,United Kingdom,46125.25575
KNA,St. Kitts and Nevis,20262.26714
PYF,French Polynesia,18984.8511
CHL,Chile,15355.47974
BGR,Bulgaria,13974.44925
CHN,China,12720.21632
SRB,Serbia,9537.682867
TKM,Turkmenistan,8792.548504
BIH,Bosnia and Herzegovina,7568.79848
BLZ,Belize,6984.21696
THA,Thailand,6909.956285
IRQ,Iraq,5937.195466
MDA,Moldova,5714.430488
IDN,Indonesia,4787.999308
BGD,Bangladesh,2688.305501
MRT,Mauritania,2065.155516
KHM,Cambodia,1759.608023
HTI,Haiti,1748.257132
UGA,Uganda,964.3958695
TGO,Togo,942.6499016
GMB,"Gambia, The",808.2782815
ISL,Iceland,73466.77867
AUS,Australia,65099.84591
ISR,Israel,54930.93881
DEU,Germany,48717.99114
NZL,New Zealand,48418.59166
MLT,Malta,34127.51056
ABW,Aruba,33300.83882
KOR,"Korea, Rep.",32422.57449
BHR,Bahrain,30146.92503
ESP,Spain,29674.54429
LTU,Lithuania,25064.80891
TTO,Trinidad and Tobago,19629.46534
MDV,Maldives,11780.81691
KAZ,Kazakhstan,11492.03194
AZE,Azerbaijan,7762.073829
BWA,Botswana,7738.878804
LBY,Libya,6716.095985
COL,Colombia,6624.165393
MKD,North Macedonia,6591.471314
SWZ,Eswatini,3986.886637
CPV,Cabo Verde,3754.304794
AGO,Angola,3000.444231
TLS,Timor-Leste,2389.295875
SLB,Solomon Islands,2205.251805
PAK,Pakistan,1588.879829
RWA,Rwanda,966.2320714
MOZ,Mozambique,558.2986064
CYM,Cayman Islands,99624.88544
CUB,Cuba,56495.85349
SWE,Sweden,56373.78858
ARE,United Arab Emirates,53707.98008
AUT,Austria,52084.6812
FIN,Finland,50916.28047
FRA,France,40886.25327
BRN,Brunei Darussalam,37152.47697
SXM,Sint Maarten (Dutch part),35873.05649
JPN,Japan,33823.57073
SAU,Saudi Arabia,30447.88371
CZE,Czechia,27223.04519
BRB,Barbados,20238.78424
HUN,Hungary,18390.185
DOM,Dominican Republic,10111.24571
GAB,Gabon,8820.347337
DMA,Dominica,8351.193213
ZAF,South Africa,6766.481254
PRY,Paraguay,6153.055657
JAM,Jamaica,6047.216457
IRN,"Iran, Islamic Rep.",4669.57138
DJI,Djibouti,3136.112768
PNG,Papua New Guinea,3115.922923
IND,India,2410.888021
KIR,Kiribati,1701.970665
SEN,Senegal,1598.726433
MCO,Monaco,240862.1824
LUX,Luxembourg,125006.0218
QAT,Qatar,87661.45015
NCL,New Caledonia,35745.18505
SVN,Slovenia,28439.3341
SVK,Slovak Republic,21256.80843
URY,Uruguay,20795.04235
ATG,Antigua and Barbuda,19919.72669
HRV,Croatia,18570.404
ARG,Argentina,13650.60463
NRU,Nauru,11970.93828
MEX,Mexico,11496.52287
MNE,Montenegro,10093.4387
GRD,Grenada,9689.0827
ALB,Albania,6810.114041
ECU,Ecuador,6391.282484
SUR,Suriname,5858.824661
DZA,Algeria,4342.637968
KEN,Kenya,2099.301938
TZA,Tanzania,1192.766479
SLE,Sierra Leone,475.7957278
CAF,Central African Republic,427.0580962
BDI,Burundi,259.0250314
NOR,Norway,106177.1972
CHE,Switzerland,93259.90572
SGP,Singapore,82807.62906
FRO,Faroe Islands,66979.27732
BHS,"Bahamas, The",31458.30081
PRT,Portugal,24515.26585
LVA,Latvia,21779.50426
PAN,Panama,17357.62863
RUS,Russian Federation,15270.70605
CRI,Costa Rica,13365.3564
PER,Peru,7125.829931
GTM,Guatemala,5473.208564
FJI,Fiji,5356.164396
NAM,Namibia,5031.11503
JOR,Jordan,4311.000046
EGY,"Egypt, Arab Rep.",4295.407496
TUN,Tunisia,3747.419391
BOL,Bolivia,3600.121635
MAR,Morocco,3441.991455
VUT,Vanuatu,3231.3513
CIV,Cote d'Ivoire,2486.412194
NGA,Nigeria,2162.633734
NER,Niger,585.4049292
BMU,Bermuda,118774.7907
IRL,Ireland,103983.2913
TCA,Turks and Caicos Islands,24917.59581
ASM,American Samoa,19673.3901
LCA,St. Lucia,13030.92848
CSS,Caribbean small states,12639.70462
BRA,Brazil,8917.674911
BLR,Belarus,7888.263711
ARM,Armenia,7018.051504
TUV,Tuvalu,5221.532799
UKR,Ukraine,4533.975586
VNM,Viet Nam,4163.514299
PHL,Philippines,3498.509806
LKA,Sri Lanka,3354.383408
HND,Honduras,3040.173046
COG,"Congo, Rep.",2649.225022
ZWE,Zimbabwe,1676.821489
CMR,Cameroon,1563.48894
GIN,Guinea,1515.167948
COM,Comoros,1484.892465
ZMB,Zambia,1456.90157
NPL,Nepal,1336.546047
LSO,Lesotho,969.9357602
BFA,Burkina Faso,830.0371503
TCD,Chad,716.8043811
NLD,Netherlands,57025.01246
BEL,Belgium,49926.82543
HKG,"Hong Kong SAR, China",48983.62172
PRI,Puerto Rico,35208.63719
OMN,Oman,25056.79486
SYC,Seychelles,13250.45583
MYS,Malaysia,11993.18761
MUS,Mauritius,10256.23031
GNQ,Equatorial Guinea,7182.265382
XKX,Kosovo,5340.268798
SLV,El Salvador,5127.321668
FSM,"Micronesia, Fed. Sts.",3713.955362
STP,Sao Tome and Principe,2386.696176
NIC,Nicaragua,2255.425995
UZB,Uzbekistan,2255.151155
GHA,Ghana,2203.558935
LAO,Lao PDR,2054.430781
KGZ,Kyrgyz Republic,1655.072698
BEN,Benin,1302.851036
MMR,Myanmar,1149.211218
SDN,Sudan,1102.146484
ETH,Ethiopia,1027.585911
GNB,Guinea-Bissau,775.8289657
SOM,Somalia,592.103122
MDG,Madagascar,516.592616
AND,Andorra,41992.77278
KWT,Kuwait,41079.5227
ITA,Italy,34776.42323
CYP,Cyprus,32048.24023
EST,Estonia,28247.09599
GRC,Greece,20867.26909
CUW,Curacao,20501.75228
POL,Poland,18688.00449
GUY,Guyana,18199.47484
ROU,Romania,15786.80174
TUR,Turkiye,10674.50417
VCT,St. Vincent and the Grenadines,9125.324771
GEO,Georgia,6674.95696
MHL,Marshall Islands,6225.179222
MNG,Mongolia,5045.5047
WSM,Samoa,3745.560367
TJK,Tajikistan,1054.189484
MLI,Mali,833.2972551
LBR,Liberia,754.5328429
COD,"Congo, Dem. Rep.",653.6562231
YEM,"Yemen, Rep.",650.2722184
MWI,Malawi,645.1586921
